frame_idx,trials,min_v_loss,top_avg_reward,eps,l1S
16,0,inf,0.0,0.9997600269981102,inf
12664,791,0.0037165507674217224,0.08,0.8269910347436829,1.11946702003479
25176,1575,0.0007016988238319755,0.16,0.6854752865607802,0.012648542411625385
30568,1914,0.0007016988238319755,0.24,0.6322164628709093,1.917834997177124
34328,2151,0.0007016988238319755,0.32,0.59754608888735,12.70016098022461
34384,2155,0.0007016988238319755,0.4,0.5970443571665126,0.004827108234167099
42496,2667,0.0007016988238319755,0.48,0.5286414945954895,7.325891494750977
43128,2708,0.0007016988238319755,0.56,0.5236536157188653,4.9287896156311035
46384,2917,0.0007016988238319755,0.64,0.498692693190133,0.022656328976154327
46408,2919,0.0007016988238319755,0.72,0.49851319478599476,0.01947920396924019
51840,3269,0.0007016988238319755,0.8,0.45950482713200863,0.022698096930980682
58504,3698,0.0007016988238319755,0.88,0.41579348105269376,5.6477861404418945
58576,3703,0.0007016988238319755,0.96,0.4153446631323167,5.652246475219727
59208,3745,0.0007016988238319755,1.04,0.41142577123121515,7.409765720367432
59640,3773,0.0007016988238319755,1.12,0.4087683317058309,4.635469436645508
75664,4825,0.0007016988238319755,1.2,0.32143224234215106,12.41656494140625
